"_type","ab_people_rate","cn_count","cn_rate","fulltime_rate","street_code","white_rate"
"Street","0.433","3","0.012","0.544","rg11aa","0.644"
"Street","0.514","5","0.014","0.385","rg11af","0.752"
"Street","0.514","5","0.014","0.385","rg11ag","0.752"
"Street","0.581","6","0.028","0.702","rg11ah","0.448"
"Street","0.514","5","0.014","0.385","rg11aj","0.752"
"Street","0.588","10","0.04","0.629","rg11al","0.407"
"Street","0.588","10","0.04","0.629","rg11an","0.407"
"Street","0.514","5","0.014","0.385","rg11aq","0.752"
"Street","0.514","5","0.014","0.385","rg11ar","0.752"
"Street","0.581","6","0.028","0.702","rg11as","0.448"
